userId,movieId,rating
1,296,5
1,306,4
1,307,5
1,665,5
1,899,4
1,1088,4
1,1175,4
1,1217,4
1,1237,5
1,1250,4
1,1260,4
1,1653,4
1,2011,3
1,2012,3
1,2068,3
1,2161,4
1,2351,5
1,2573,4
1,2632,5
1,2692,5
1,2843,5
1,3448,4
1,3569,5
1,3949,5
1,4144,5
1,4308,3
1,4325,5
1,4422,3
1,4703,4
1,4973,5
1,5147,4
1,5269,1
1,5684,2
1,5767,5
1,5878,4
1,5912,3
1,5952,4
1,6016,5
1,6370,5
1,6377,4
1,6539,4
1,6711,5
1,6954,4
1,7209,4
1,7234,5
1,7318,2
1,7323,4
1,7327,4
1,7361,5
1,7365,4
1,7820,3
1,7937,3
1,7938,3
1,7939,3
1,7940,5
1,8014,4
1,8154,5
1,8327,5
1,8360,4
1,8405,4
1,8685,1
1,8729,4
1,8786,4
1,8873,3
1,8973,4
1,27193,3
1,27266,5
1,27721,3
1,31956,4
1,32591,5
2,1,4
2,62,1
2,110,5
2,150,4
2,151,5
2,236,4
2,260,5
2,261,1
2,266,1
2,318,5
2,333,5
2,349,5
2,356,5
2,364,5
2,380,1
2,457,5
2,480,2
2,497,4
2,524,4
2,527,5
2,534,5
2,553,2
2,588,2
2,589,4
2,653,3
2,733,5
2,858,4
2,914,4
2,953,5
2,1035,1
