userId,movieId,tag,timestamp
2,60756,funny|Highly quotable|will ferrell,1445714994|1445714996|1445714992
2,89774,Boxing story|MMA|Tom Hardy,1445715207|1445715200|1445715205
2,106782,drugs|Leonardo DiCaprio|Martin Scorsese,1445715054|1445715051|1445715056
7,48516,way too long,1169687325
18,431,Al Pacino|gangster|mafia,1462138765|1462138749|1462138755
18,1221,Al Pacino|Mafia,1461699306|1461699303
18,5995,holocaust|true story,1455735472|1455735479
18,44665,twist ending,1456948283
18,52604,Anthony Hopkins|courtroom drama|twist ending,1457650696|1457650711|1457650682
18,88094,britpop|indie record label|music,1457444500|1457444592|1457444609
18,144210,dumpster diving|Sustainability,1455060381|1455060452
21,1569,romantic comedy|wedding,1419805413|1419805419
21,118985,painter,1419805477
21,119141,bloody,1419793962
49,109487,black hole|sci-fi|time-travel,1493093306|1493093332|1493093356
62,2,fantasy|magic board game|Robin Williams,1528843929|1528843932|1528843907
62,110,beautiful scenery|epic|historical|inspirational|Medieval|mel gibson|Oscar (Best Cinematography)|revenge|sword fight,1528152541|1528152532|1528152523|1528152527|1528152528|1528152521|1528152539|1528152531|1528152535
62,410,black comedy|Christina Ricci|Christopher Lloyd|dark comedy|family|gothic,1525636607|1525636685|1525636622|1525636610|1525636708|1525636609
62,2023,Al Pacino|Andy Garcia|Classic|Francis Ford Coppola|mafia,1525636728|1525636768|1525636752|1525636752|1525636733
62,2124,black comedy|Christina Ricci|Christopher Lloyd|Family|gothic|quirky,1525636847|1525636867|1525636859|1525636855|1525636849|1525636846
62,2953,family|funny|Macaulay Culkin|sequel,1525636883|1525636885|1525636890|1525636887
62,3114,animation|Disney|funny|original|Pixar|sequel|Tom Hanks,1525636903|1525636902|1525636913|1525636917|1525636901|1525636910|1525636925
62,3578,ancient Rome|Epic|history|imdb top 250|revenge|Rome|Russell Crowe,1528152504|1528152469|1528152467|1528152498|1528152496|1528152463|1528152465
62,4223,Ed Harris|Jude Law|Rachel Weisz|sniper|World War II,1528024869|1528024854|1528024873|1528024852|1528024877
62,5388,Al Pacino|atmospheric|Hilary Swank|Robin Williams,1530310809|1530310959|1530310952|1530310811
62,6058,sequel|violent,1525555053|1525555051
62,6534,dogs|Eric Bana|mad scientist|marvel,1525554096|1525554086|1525554098|1525554100
62,6541,captain nemo|comic book|gothic|Peta Wilson|Sean Connery|superhero,1525554054|1525554028|1525554056|1525554040|1525554026|1525554051
62,6564,adventure|Angelina Jolie|heroine in tight suit,1525554439|1525554432|1525554441
62,7153,Adventure|ensemble cast|fantasy|fantasy world|great soundtrack|lord of the rings|scenic|stylized|Tolkien,1528152558|1528152578|1528152556|1528152571|1528152575|1528152581|1528152580|1528152577|1528152561
62,8641,hilarious|Steve Carell|Will Ferrell,1526249138|1526249156|1526249135
62,27660,animation|anime|cyberpunk|dark|Matrix|sci-fi,1525554490|1525554488|1525554486|1525554500|1525554493|1525554491
62,27706,dark comedy|Jim Carrey|meryl streep|quirky|stylized,1526248598|1526248575|1526248580|1526248553|1526248601
62,27808,Adam Sandler|family|sweet,1525554900|1525554919|1525554922
62,27831,British gangster|confusing|daniel craig|Exquisite plotting.|organized crime|stylish|Tom Hardy,1532723304|1532723364|1532723305|1532723355|1532723369|1532723356|1532723359
62,31658,anime|fantasy world|Hayao Miyazaki|Studio Ghibli,1525869041|1525869051|1525869046|1525869044
62,33162,David Thewlis|Eva Green|Liam Neeson|Orlando Bloom,1525554605|1525554550|1525554577|1525554511
62,34150,Chris Evans|comic book|heroine in tight suit|Jessica Alba|sexy female scientist|superhero,1525554141|1525554003|1525554138|1525554127|1525554144|1525553977
62,37729,gothic|helena bonham carter|Johnny Depp|Tim Burton|visually appealing,1530310527|1530310534|1530310529|1530310526|1530310541
62,38061,black comedy|clever|fast-paced dialogue|good dialogue|Robert Downey Jr.|witty,1532723380|1532723403|1532723406|1532723428|1532723408|1532723402
62,45447,adventure|Audrey Tautou|conspiracy theory|Mystery|Paris|Tom Hanks|treasure hunt,1525637064|1525637075|1525637062|1525637081|1525637079|1525637067|1525637084
62,46723,Brad Pitt|cate blanchett|multiple storylines|social commentary,1525554217|1525554227|1525554215|1525554246
62,46972,Ben Stiller|Robin Williams,1525554254|1525554255
62,46976,emma thompson|Maggie Gyllenhaal|modern fantasy|romance|surreal|Will Ferrell,1536874692|1536874655|1536874658|1536874651|1536874662|1536874653
62,49130,Marion Cotillard,1526582371
62,49530,Africa|corruption|Jennifer Connelly|justice|Leonardo DiCaprio,1536874706|1536874704|1536874701|1536874709|1536874698
62,53464,bad acting|bad jokes|bad plot|Chris Evans|Jessica Alba|Marvel|sexy female scientist,1525554797|1525554811|1525554822|1525554807|1525554794|1525554792|1525554813
62,58047,Rachel Weisz|Ryan Reynolds,1528909364|1528909347
62,59501,fantasy|lion|narnia|Tilda Swinton,1525637507|1525637517|1525637508|1525637603
62,60074,bad script|Charlize Theron|Will Smith,1525554116|1525554121|1525554107
62,60126,Anne Hathaway|Steve Carell,1527004240|1527004238
62,60756,comedy|funny|will ferrell,1528934384|1528934381|1528934379
62,61024,comedy|James Franco|Seth Rogen|Stoner Movie,1528934218|1528934214|1528934216|1528934219
62,63992,audience intelligence underestimated|boring|chick flick|overrated|Teen movie,1528934237|1528934241|1528934247|1528934240|1528934233
62,68848,Adrien Brody|con artists|funny|interesting characters|Mark Ruffalo|Rachel Weisz,1527274305|1527274320|1527274322|1527274324|1527274316|1527274311
62,71535,Bill Murray|dark comedy|Emma Stone|funny|Jesse Eisenberg|Woody Harrelson,1529777198|1529777189|1529777192|1529777194|1529777186|1529777129
62,87430,audience intelligence underestimated|CGI|cheesy|comic book|DC|DC Comics|Ryan Reynolds|space|superhero,1525555172|1525555168|1525555170|1525555164|1525555176|1525555184|1525555162|1525555182|1525555181
62,88405,comedy|funny|happy ending|HOT actress|Justin Timberlake|Mila Kunis|New York City|romance|sex,1525554879|1525554868|1525554872|1525554880|1525554873|1525554861|1525554866|1525554883|1525554864
62,96861,Istanbul|Liam Neeson|predictable|Turkey|unnecessary sequel,1529611262|1529611250|1529611266|1529611256|1529611269
62,99114,action|Christoph Waltz|funny|good soundtrack|Great performances|Humour|Leonardo DiCaprio|Quentin Tarantino|Samuel L. Jackson|Soundtrack|western,1526078792|1526078766|1526078778|1526078785|1526078768|1526078787|1526078762|1526078760|1526078763|1526078781|1526078773
