movieId,imdbId
1,114709
2,113497
3,113228
4,114885
5,113041
6,113277
7,114319
8,112302
9,114576
10,113189
11,112346
12,112896
13,112453
14,113987
15,112760
16,112641
17,114388
18,113101
19,112281
20,113845
21,113161
22,112722
23,112401
24,114168
25,113627
26,114057
27,114011
28,114117
29,112682
30,115012
31,112792
32,114746
33,114952
34,112431
35,112637
36,112818
37,112286
38,113442
39,112697
40,112749
41,114279
42,112819
43,114272
44,113855
45,114681
46,113347
47,114369
48,114148
49,114916
50,114814
51,109950
52,113819
53,110299
54,112499
55,113158
56,113541
57,113321
58,110877
59,112714
60,113419
61,116260
62,113862
63,116126
64,118002
65,115683
66,116839
67,114753
68,113149
69,113118
70,116367
71,113010
72,113537
73,113828
74,115644
75,115676
76,114367
77,113973
78,112744
79,116731
80,112445
81,114660
82,112379
83,114039
84,113612
85,112365
86,118158
87,116151
88,115697
89,113972
90,113490
92,117002
93,114825
94,115639
95,115759
96,113403
97,113247
98,111173
99,113283
100,115907
101,115734
